Unpaved Road Surface Material Silt Content Values Used in the 1999 NEI,,,,,,
comment,,,,,,
http://www3.epa.gov/ttnchie1/ap42/ch13/related/c13s02-2.html,,,,,,
,,,,,,
State,FIPS ,Unpaved Road Surface Material Silt Content (%),,,,
,,AP 42 Data ,Currently in F-PEAM,,,
Alabama,1,3.9,0,,,
Alaska,2,3.8,-,,,
Arizona,4,3.0,0.4385,,,
Arkansas,5,3.9,0.28,,,
California,6,2.6,0.32,,,
Colorado,8,1.5,0.323,,,
Connecticut,9,3.9,0.25,,,
Delaware,10,3.9,0.195,,,
DC,11,0.0,-,,,
Florida,12,3.9,0.0545,,,
Georgia,13,3.9,0.222,,,
Hawaii,15,3.8,-,,,
Idaho,16,3.9,0.26675,,,
Illinois,17,2.6,0.54,,,
Indiana,18,2.6,0.675,,,
Iowa,19,2.5,0.66075,,,
Kansas,20,3.9,0.4185,,,
Kentucky,21,3.9,0.65375,,,
Louisiana,22,3.9,0.4525,,,
Maine,23,3.9,0.25,,,
Maryland,24,3.9,0.4755,,,
Massachusetts,25,3.9,0.42,,,
Michigan,26,2.6,0.2305,,,
Minnesota,27,2.7,0.33475,,,
Mississippi,28,3.9,0.5645,,,
Missouri,29,6.5,0.37575,,,
Montana,30,6.6,0.39925,,,
Nebraska,31,4.2,0.3275,,,
Nevada,32,1.7,0.3825,,,
New Hampshire,33,3.9,0.315875,,,
New Jersey,34,3.9,0.25,,,
New Mexico,35,4.3,0.4125,,,
New York,36,4.7,0.3155,,,
North Carolina,37,5.1,0.327,,,
North Dakota,38,3.9,0.4625,,,
Ohio,39,3.1,0.59125,,,
Oklahoma,40,4.4,0.549,,,
Oregon,41,7.2,0.3805,,,
Pennsylvania,42,3.3,0.6465,,,
Rhode Island,44,3.9,0.25,,,
South Carolina,45,3.9,0.17575,,,
South Dakota,46,3.1,0.313,,,
Tennessee,47,2.0,0.61975,,,
Texas,48,5.6,0.253,,,
Utah,49,3.9,0.36775,,,
Vermont,50,3.9,0.6395,,,
Virginia,51,3.2,0.25,,,
Washington,53,3.9,0.44975,,,
West Virginia,54,3.9,0.532,,,
Wisconsin,55,4.2,0.65375,,,
Wyoming,56,7.1,0.334,,,
