bdgt_id,bdgtyr,oper01dt,fuel01_galdt,oper02dt,fuel02_galdt,oper03dt,fuel03_galdt,oper04dt,fuel04_galdt,oper05dt,fuel05_galdt
FULL.01,1,IW Chainsaw Delimbing,0.0124,"IW Hand Felling, Thin",0.0614,"IW Large Cable Skidder, Thin",0.6322,IW Medium Loader,0.4134,,
FULL.02,1,IW Chainsaw Delimbing,0.0124,"IW Hand Felling, CC",0.0573,"IW Large Cable Skidder, Thin",0.6322,IW Large Loader,0.2315,,
FULL.03,1,IW Chainsaw Delimbing,0.0124,"IW Medium Feller Buncher, Thin",0.2381,"IW Medium Grapple Skidder, Thin",0.6362,IW Medium Loader,0.4134,,
FULL.04,1,IW Chainsaw Delimbing,0.0124,"IW Large Feller Buncher, CC",0.1952,"IW Large Grapple Skidder, CC",0.6322,IW Large Loader,0.2315,,
FULL.05,1,IW Chainsaw Delimbing,0.0124,"IW Medium Feller Buncher, Thin",0.2381,"IW Medium Grapple Skidder, Thin",0.6362,IW Medium Loader,0.4134,,
FULL.06,1,IW Chainsaw Delimbing,0.0124,"IW Large Feller Buncher, CC",0.1952,"IW Large Grapple Skidder, CC",0.6322,IW Large Loader,0.2315,,
FULL.07,1,IW Fixed Base Landing Delimber,0.1631,"IW Medium Feller Buncher, Thin",0.2381,"IW Medium Grapple Skidder, Thin",0.6362,IW Medium Loader,0.4134,,
FULL.08,1,IW Fixed Base Landing Delimber,0.1631,"IW Large Feller Buncher, CC",0.1952,"IW Large Grapple Skidder, CC",0.6322,IW Large Loader,0.2315,,
FULL.09,1,IW Fixed Base Landing Delimber,0.1631,"IW Medium Feller Buncher, Thin",0.2381,"IW Medium Grapple Skidder, Thin",0.6362,IW Medium Loader,0.4134,,
FULL.10,1,IW Fixed Base Landing Delimber,0.1631,"IW Large Feller Buncher, CC",0.1952,"IW Large Grapple Skidder, CC",0.6322,IW Large Loader,0.2315,,
FULL.11,1,IW Chainsaw Delimbing,0.0124,"IW Hand Felling, Thin",0.0614,IW Medium Loader,0.4134,"IW Medium Skyline, Thin",1.4096,,
FULL.12,1,IW Chainsaw Delimbing,0.0124,"IW Hand Felling, CC",0.0573,IW Large Loader,0.2315,"IW Large Skyline, CC",0.813,,
LNGT.13,1,"IW Medium Forwarder, Thin",0.9482,"IW Small Cut to Length Processor, Thin",0.3713,,,,,,
LNGT.14,1,"IW Large Cut to Length Processor, CC",0.7545,"IW Large Forwarder, Thin",0.6933,,,,,,
RESD.01,1,IW Medium Loader,0.4134,Medium Whole Tree Chipper,0.225,,,,,,
RESD.02,1,IW Large Loader,0.2315,Large Whole Tree Chipper,0.2812,,,,,,
RESD.03,1,IW Medium Loader,0.4134,Medium Whole Tree Chipper,0.225,,,,,,
RESD.04,1,IW Large Loader,0.2315,Large Whole Tree Chipper,0.2812,,,,,,
RESD.05,1,IW Medium Loader,0.4134,Medium Whole Tree Chipper,0.225,,,,,,
RESD.06,1,IW Large Loader,0.2315,Large Whole Tree Chipper,0.2812,,,,,,
RESD.07,1,IW Medium Loader,0.4134,Medium Whole Tree Chipper,0.225,,,,,,
RESD.08,1,IW Large Loader,0.2315,Large Whole Tree Chipper,0.2812,,,,,,
RESD.09,1,IW Medium Loader,0.4134,Medium Whole Tree Chipper,0.225,,,,,,
RESD.10,1,IW Large Loader,0.2315,Large Whole Tree Chipper,0.2812,,,,,,
TREE.11,1,IW Chainsaw Delimbing,0.0124,"IW Hand Felling, Thin",0.0614,IW Medium Loader,0.4134,"IW Medium Skyline, Thin",1.4096,Medium Whole Tree Chipper,0.225
TREE.12,1,IW Chainsaw Delimbing,0.0124,"IW Hand Felling, CC",0.0573,IW Large Loader,0.2315,"IW Large Skyline, CC",0.813,Large Whole Tree Chipper,0.2812
TREE.15,1,"IW Medium Feller Buncher, Thin",0.2381,"IW Medium Grapple Skidder, Thin",0.6362,IW Medium Loader,0.4134,Medium Whole Tree Chipper,0.225,,
TREE.16,1,"IW Large Feller Buncher, CC",0.1952,"IW Large Grapple Skidder, CC",0.6322,IW Large Loader,0.2315,Large Whole Tree Chipper,0.2812,,
